iteration, error, time, P-term, I-term, D-term, left PWM, right PWM
95, -177, 485443.0, -5.9, 0, -177.75, 0, 70
96, -163, 490553.0, -5.43333333333, 0, 31.5, 70, 43.9333333333
97, -163, 495636.0, -5.43333333333, 0, 0.0, 64.5666666667, 70
98, -272, 500710.0, -9.06666666667, 0, -245.25, 0, 70
99, -225, 505789.0, -7.5, 0, 105.75, 70, 0
100, -369, 510880.0, -12.3, 0, -324.0, 0, 70
101, -108, 515966.0, -3.6, 0, 587.25, 70, 0
102, -108, 521061.0, -3.6, 0, 0.0, 66.4, 70
103, -77, 526166.0, -2.56666666667, 0, 69.75, 70, 2.81666666667
104, -114, 531247.0, -3.8, 0, -83.25, 0, 70
105, -42, 536331.0, -1.4, 0, 162.0, 70, 0
106, -80, 541410.0, -2.66666666667, 0, -85.5, 0, 70
107, -48, 546496.0, -1.6, 0, 72.0, 70, 0
108, -37, 551598.0, -1.23333333333, 0, 24.75, 70, 46.4833333333
109, -250, 556679.0, -8.33333333333, 0, -479.25, 0, 70
110, -454, 561761.0, -15.1333333333, 0, -459.0, 0, 70
111, -371, 566855.0, -12.3666666667, 0, 186.75, 70, 0
112, -452, 571936.0, -15.0666666667, 0, -182.25, 0, 70
113, -469, 577038.0, -15.6333333333, 0, -38.25, 16.1166666667, 70
114, -470, 582117.0, -15.6666666667, 0, -2.25, 52.0833333333, 70
115, -471, 587202.0, -15.7, 0, -2.25, 52.05, 70
116, -482, 592309.0, -16.0666666667, 0, -24.75, 29.1833333333, 70
117, -472, 597400.0, -15.7333333333, 0, 22.5, 70, 63.2333333333
118, -401, 602465.0, -13.3666666667, 0, 159.75, 70, 0
119, -362, 607548.0, -12.0666666667, 0, 87.75, 70, 0
120, -256, 612639.0, -8.53333333333, 0, 238.5, 70, 0
121, -323, 617720.0, -10.7666666667, 0, -150.75, 0, 70
122, -423, 622856.0, -14.1, 0, -225.0, 0, 70
123, -467, 627904.0, -15.5666666667, 0, -99.0, 0, 70
124, -523, 632992.0, -17.4333333333, 0, -126.0, 0, 70
125, -508, 638088.0, -16.9333333333, 0, 33.75, 70, 53.1833333333
126, -569, 643196.0, -18.9666666667, 0, -137.25, 0, 70
127, -549, 648262.0, -18.3, 0, 45.0, 70, 43.3
128, -474, 653341.0, -15.8, 0, 168.75, 70, 0
129, -355, 658430.0, -11.8333333333, 0, 267.75, 70, 0
130, -231, 663519.0, -7.7, 0, 279.0, 70, 0
131, -231, 668602.0, -7.7, 0, 0.0, 62.3, 70
132, -129, 673735.0, -4.3, 0, 229.5, 70, 0
133, 98, 678774.0, 3.26666666667, 0, 510.75, 70, 0
134, 68, 683880.0, 2.26666666667, 0, -67.5, 4.76666666667, 70
135, -56, 688960.0, -1.86666666667, 0, -279.0, 0, 70
136, 48, 694043.0, 1.6, 0, 234.0, 70, 0
