iteration, error, time, P-term, I-term, D-term, left PWM, right PWM
0, 111, 2362.0, 2.22, 0, 0, 30, 27.78
1, 120, 7457.0, 2.4, 0, 0, 30, 27.6
2, 102, 12660.0, 2.04, 0, 0, 30, 27.96
3, 134, 17541.0, 2.68, 0, 0, 30, 27.32
4, 132, 22658.0, 2.64, 0, 0, 30, 27.36
5, 99, 27736.0, 1.98, 0, 0, 30, 28.02
6, 0, 32830.0, 0.0, 0, 0, 30, 30.0
7, 0, 38066.0, 0.0, 0, 0, 30, 30.0
8, 0, 43040.0, 0.0, 0, 0, 30, 30.0
9, 120, 48156.0, 2.4, 0, 0, 30, 27.6
10, 132, 53254.0, 2.64, 0, 0, 30, 27.36
11, 97, 58371.0, 1.94, 0, 0, 30, 28.06
12, 149, 63513.0, 2.98, 0, 0, 30, 27.02
13, 169, 68574.0, 3.38, 0, 0, 30, 26.62
14, 48, 73681.0, 0.96, 0, 0, 30, 29.04
15, 0, 78526.0, 0.0, 0, 0, 30, 30.0
16, -84, 83521.0, -1.68, 0, 0, 28.32, 30
17, -69, 88636.0, -1.38, 0, 0, 28.62, 30
18, 0, 93703.0, 0.0, 0, 0, 30, 30.0
19, -4, 98791.0, -0.08, 0, 0, 29.92, 30
20, -131, 103934.0, -2.62, 0, 0, 27.38, 30
21, -101, 108978.0, -2.02, 0, 0, 27.98, 30
22, -10, 114068.0, -0.2, 0, 0, 29.8, 30
23, -61, 119365.0, -1.22, 0, 0, 28.78, 30
24, -165, 124279.0, -3.3, 0, 0, 26.7, 30
25, -124, 129341.0, -2.48, 0, 0, 27.52, 30
26, 120, 134486.0, 2.4, 0, 0, 30, 27.6
27, -152, 139504.0, -3.04, 0, 0, 26.96, 30
28, -107, 144594.0, -2.14, 0, 0, 27.86, 30
29, 53, 149711.0, 1.06, 0, 0, 30, 28.94
30, -55, 154809.0, -1.1, 0, 0, 28.9, 30
31, 37, 159874.0, 0.74, 0, 0, 30, 29.26
32, 125, 164948.0, 2.5, 0, 0, 30, 27.5
33, 97, 170022.0, 1.94, 0, 0, 30, 28.06
34, -130, 175190.0, -2.6, 0, 0, 27.4, 30
35, -79, 180209.0, -1.58, 0, 0, 28.42, 30
36, 52, 185332.0, 1.04, 0, 0, 30, 28.96
37, 141, 190401.0, 2.82, 0, 0, 30, 27.18
38, -14, 195454.0, -0.28, 0, 0, 29.72, 30
