iteration, error, time, P-term, I-term, D-term, left PWM, right PWM
78, -58, 398854.0, -1.28888888889, 0, 0, 28.7111111111, 30
79, -22, 404001.0, -0.488888888889, 0, 0, 29.5111111111, 30
80, -105, 409032.0, -2.33333333333, 0, 0, 27.6666666667, 30
81, -42, 414125.0, -0.933333333333, 0, 0, 29.0666666667, 30
82, -327, 419204.0, -7.26666666667, 0, 0, 22.7333333333, 30
83, -299, 424328.0, -6.64444444444, 0, 0, 23.3555555556, 30
84, -172, 429344.0, -3.82222222222, 0, 0, 26.1777777778, 30
85, -211, 434479.0, -4.68888888889, 0, 0, 25.3111111111, 30
86, -313, 439536.0, -6.95555555556, 0, 0, 23.0444444444, 30
87, -389, 444654.0, -8.64444444444, 0, 0, 21.3555555556, 30
88, -293, 449714.0, -6.51111111111, 0, 0, 23.4888888889, 30
89, -263, 454743.0, -5.84444444444, 0, 0, 24.1555555556, 30
90, -295, 459902.0, -6.55555555556, 0, 0, 23.4444444444, 30
91, -273, 464906.0, -6.06666666667, 0, 0, 23.9333333333, 30
92, -284, 470070.0, -6.31111111111, 0, 0, 23.6888888889, 30
93, -326, 475301.0, -7.24444444444, 0, 0, 22.7555555556, 30
94, -218, 480222.0, -4.84444444444, 0, 0, 25.1555555556, 30
95, -340, 485250.0, -7.55555555556, 0, 0, 22.4444444444, 30
96, -354, 490366.0, -7.86666666667, 0, 0, 22.1333333333, 30
97, -232, 495425.0, -5.15555555556, 0, 0, 24.8444444444, 30
98, -205, 500546.0, -4.55555555556, 0, 0, 25.4444444444, 30
99, -481, 505636.0, -10.6888888889, 0, 0, 19.3111111111, 30
100, -455, 510739.0, -10.1111111111, 0, 0, 19.8888888889, 30
101, -287, 515837.0, -6.37777777778, 0, 0, 23.6222222222, 30
102, -292, 520956.0, -6.48888888889, 0, 0, 23.5111111111, 30
103, -186, 525978.0, -4.13333333333, 0, 0, 25.8666666667, 30
104, -257, 531102.0, -5.71111111111, 0, 0, 24.2888888889, 30
105, -271, 536139.0, -6.02222222222, 0, 0, 23.9777777778, 30
106, -207, 541230.0, -4.6, 0, 0, 25.4, 30
107, -74, 546356.0, -1.64444444444, 0, 0, 28.3555555556, 30
108, -17, 551419.0, -0.377777777778, 0, 0, 29.6222222222, 30
109, -154, 556564.0, -3.42222222222, 0, 0, 26.5777777778, 30
110, -14, 561560.0, -0.311111111111, 0, 0, 29.6888888889, 30
111, 227, 566696.0, 5.04444444444, 0, 0, 30, 24.9555555556
112, 129, 571803.0, 2.86666666667, 0, 0, 30, 27.1333333333
113, 94, 576850.0, 2.08888888889, 0, 0, 30, 27.9111111111
114, 244, 581961.0, 5.42222222222, 0, 0, 30, 24.5777777778
115, 92, 587007.0, 2.04444444444, 0, 0, 30, 27.9555555556
116, 114, 592146.0, 2.53333333333, 0, 0, 30, 27.4666666667
117, 231, 597194.0, 5.13333333333, 0, 0, 30, 24.8666666667
118, 249, 602289.0, 5.53333333333, 0, 0, 30, 24.4666666667
119, 147, 607382.0, 3.26666666667, 0, 0, 30, 26.7333333333
120, 190, 612412.0, 4.22222222222, 0, 0, 30, 25.7777777778
121, 47, 617597.0, 1.04444444444, 0, 0, 30, 28.9555555556
122, 64, 622594.0, 1.42222222222, 0, 0, 30, 28.5777777778
123, 45, 627715.0, 1.0, 0, 0, 30, 29.0
124, 114, 632797.0, 2.53333333333, 0, 0, 30, 27.4666666667
125, -141, 637933.0, -3.13333333333, 0, 0, 26.8666666667, 30
126, 103, 643007.0, 2.28888888889, 0, 0, 30, 27.7111111111
127, 20, 648101.0, 0.444444444444, 0, 0, 30, 29.5555555556
128, 151, 653161.0, 3.35555555556, 0, 0, 30, 26.6444444444
129, 255, 658218.0, 5.66666666667, 0, 0, 30, 24.3333333333
130, 80, 663506.0, 1.77777777778, 0, 0, 30, 28.2222222222
131, 90, 668388.0, 2.0, 0, 0, 30, 28.0
132, 136, 673574.0, 3.02222222222, 0, 0, 30, 26.9777777778
133, -50, 678535.0, -1.11111111111, 0, 0, 28.8888888889, 30
134, -81, 683694.0, -1.8, 0, 0, 28.2, 30
135, -244, 688745.0, -5.42222222222, 0, 0, 24.5777777778, 30
136, -15, 693812.0, -0.333333333333, 0, 0, 29.6666666667, 30
137, 53, 698950.0, 1.17777777778, 0, 0, 30, 28.8222222222
138, 215, 703981.0, 4.77777777778, 0, 0, 30, 25.2222222222
139, -110, 709064.0, -2.44444444444, 0, 0, 27.5555555556, 30
140, 284, 714156.0, 6.31111111111, 0, 0, 30, 23.6888888889
141, 132, 719284.0, 2.93333333333, 0, 0, 30, 27.0666666667
142, 233, 724343.0, 5.17777777778, 0, 0, 30, 24.8222222222
143, 17, 729448.0, 0.377777777778, 0, 0, 30, 29.6222222222
144, 32, 734626.0, 0.711111111111, 0, 0, 30, 29.2888888889
145, 245, 739598.0, 5.44444444444, 0, 0, 30, 24.5555555556
146, 37, 744684.0, 0.822222222222, 0, 0, 30, 29.1777777778
147, 257, 749757.0, 5.71111111111, 0, 0, 30, 24.2888888889
148, 295, 754918.0, 6.55555555556, 0, 0, 30, 23.4444444444
149, 192, 759896.0, 4.26666666667, 0, 0, 30, 25.7333333333
150, 216, 765040.0, 4.8, 0, 0, 30, 25.2
151, 135, 770046.0, 3.0, 0, 0, 30, 27.0
152, 197, 775208.0, 4.37777777778, 0, 0, 30, 25.6222222222
153, 153, 780249.0, 3.4, 0, 0, 30, 26.6
154, 5, 785348.0, 0.111111111111, 0, 0, 30, 29.8888888889
155, -279, 790461.0, -6.2, 0, 0, 23.8, 30
156, -299, 795473.0, -6.64444444444, 0, 0, 23.3555555556, 30
157, -366, 800634.0, -8.13333333333, 0, 0, 21.8666666667, 30
158, -276, 805690.0, -6.13333333333, 0, 0, 23.8666666667, 30
159, -466, 810796.0, -10.3555555556, 0, 0, 19.6444444444, 30
160, -436, 815905.0, -9.68888888889, 0, 0, 20.3111111111, 30
161, -347, 820932.0, -7.71111111111, 0, 0, 22.2888888889, 30
162, -550, 826105.0, -12.2222222222, 0, 0, 17.7777777778, 30
163, -666, 831088.0, -14.8, 0, 0, 15.2, 30
164, -768, 836236.0, -17.0666666667, 0, 0, 12.9333333333, 30
165, -693, 841316.0, -15.4, 0, 0, 14.6, 30
166, -1000, 846368.0, -22.2222222222, 0, 0, 7.77777777778, 30
167, -915, 851701.0, -20.3333333333, 0, 0, 9.66666666667, 30
168, -1391, 856662.0, -30.9111111111, 0, 0, 0, 30
169, -1449, 861784.0, -32.2, 0, 0, 0, 30
170, -1289, 866974.0, -28.6444444444, 0, 0, 1.35555555556, 30
171, -1504, 871949.0, -33.4222222222, 0, 0, 0, 30
172, -1500, 877247.0, -33.3333333333, 0, 0, 0, 30
173, -1520, 882189.0, -33.7777777778, 0, 0, 0, 30
174, -1440, 887310.0, -32.0, 0, 0, 0, 30
175, -1565, 892546.0, -34.7777777778, 0, 0, 0, 30
176, -1269, 897473.0, -28.2, 0, 0, 1.8, 30
177, -1466, 902577.0, -32.5777777778, 0, 0, 0, 30
178, -1762, 907538.0, -39.1555555556, 0, 0, 0, 30
179, -1840, 912878.0, -40.8888888889, 0, 0, 0, 30
180, -1823, 917705.0, -40.5111111111, 0, 0, 0, 30
181, -1885, 922851.0, -41.8888888889, 0, 0, 0, 30
182, -1824, 927887.0, -40.5333333333, 0, 0, 0, 30
183, -1792, 932980.0, -39.8222222222, 0, 0, 0, 30
184, -1740, 938073.0, -38.6666666667, 0, 0, 0, 30
185, -1648, 943158.0, -36.6222222222, 0, 0, 0, 30
186, -1562, 948254.0, -34.7111111111, 0, 0, 0, 30
